ko,source,metabolism,path,description
K13057,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K13057  treT; trehalose synthase [EC:2.4.1.245]
K00697,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K00697  otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K01087,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K01087  otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]
K16055,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K16055  TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
K22337,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K22337  TSL1, TPS3; trehalose 6-phosphate synthase complex regulatory subunit"
K01194,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K01194  TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]"
K22934,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K22934  E3.2.1.28; alpha,alpha-trehalase [EC:3.2.1.28]"
K05342,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K05342  treP; alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]"
K02819,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K02819  treB, treP; trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201]"
K01226,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K01226  treC; trehalose-6-phosphate hydrolase [EC:3.2.1.93]
K01835,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
K15778,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K15778  pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
K15779,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K15779  PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]
K00844,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K00844  HK; hexokinase [EC:2.7.1.1]
K12407,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K12407  GCK; glucokinase [EC:2.7.1.2]
K00845,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K00845  glk; glucokinase [EC:2.7.1.2]
K01084,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K01084  G6PC; glucose-6-phosphatase [EC:3.1.3.9]
K11809,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K11809  PGM2L1; glucose-1,6-bisphosphate synthase [EC:2.7.1.106]"
K01810,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K01810  GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
K06859,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K06859  pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
K13810,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K13810  tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K15916,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],D      K15916  pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
K00847,sugar,B  09101 Carbohydrate metabolism,C    00500 Starch and sucrose metabolism [PATH:ko00500],"D      K00847  E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]"
K01183,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01183  E3.2.1.14; chitinase [EC:3.2.1.14]
K20547,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K20547  CHIB; basic endochitinase B [EC:3.2.1.14]
K13381,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K13381  chiA; bifunctional chitinase/lysozyme [EC:3.2.1.14 3.2.1.17]
K01207,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01207  nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]
K12373,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K12373  HEXA_B; hexosaminidase [EC:3.2.1.52]
K01452,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01452  E3.5.1.41; chitin deacetylase [EC:3.5.1.41]
K01233,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01233  csn; chitosanase [EC:3.2.1.132]
K15855,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K15855  csxA; exo-1,4-beta-D-glucosaminidase [EC:3.2.1.165]"
K18675,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K18675  chbP; N,N'-diacetylchitobiose phosphorylase [EC:2.4.1.280]"
K02777,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K02777  crr; sugar PTS system EIIA component [EC:2.7.1.-]
K11192,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K11192  murP; N-acetylmuramic acid PTS system EIICB component [EC:2.7.1.192]
K22292,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K22292  mupP; N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105]
K07102,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K07102  amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]
K00992,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00992  murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
K07106,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K07106  murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K02804,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K02804  nagE; N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]
K00884,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00884  NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]"
K01836,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01836  PGM3; phosphoacetylglucosamine mutase [EC:5.4.2.3]
K00972,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00972  UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]
K04042,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K04042  glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
K11528,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K11528  glmU; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]
K12409,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K12409  GNE; bifunctional UDP-N-acetylglucosamine 2-epimerase / N-acetylmannosamine kinase [EC:3.2.1.183 2.7.1.60]
K08068,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K08068  siaA, neuC1; UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]"
K00885,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00885  nanK; N-acylmannosamine kinase [EC:2.7.1.60]
K13967,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K13967  nanEK; N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase [EC:5.1.3.9 2.7.1.60]
K01787,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01787  RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]
K01788,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01788  nanE; N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]
K05304,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K05304  NANS, SAS; sialic acid synthase [EC:2.5.1.56 2.5.1.57 2.5.1.132]"
K01097,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01097  NANP; N-acylneuraminate-9-phosphatase [EC:3.1.3.29]
K01654,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K01654  neuB, nnaB; N-acetylneuraminate synthase [EC:2.5.1.56]"
K01639,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K01639  E4.1.3.3, nanA, NPL; N-acetylneuraminate lyase [EC:4.1.3.3]"
K21749,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K21749  CMAS; N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.43 2.7.7.92]
K00983,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00983  neuA, nnaC; N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]"
K08080,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K08080  CMAH; CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]
K00326,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00326  E1.6.2.2; cytochrome-b5 reductase [EC:1.6.2.2]
K00698,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00698  CHS1; chitin synthase [EC:2.4.1.16]
K01791,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01791  wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
K02472,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K02472  wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]
K13015,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K13015  wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]
K22926,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K22926  tviB, vipA; UDP-N-acetylglucosamine 6-dehydrogenase [EC:1.1.1.136]"
K13016,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K13016  wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]
K13020,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K13020  wlbA, bplA; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]"
K13017,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K13017  wbpE, wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]"
K13018,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K13018  wbpD, wlbB; UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]"
K13019,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K13019  wbpI, wlbD; UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]"
K02473,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K02473  wbpP; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]
K02474,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K02474  wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]
K22925,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K22925  tviC, vipB; UDP-N-acetylglucosaminuronic acid 4-epimerase [EC:5.1.3.-]"
K00790,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00790  murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K00075,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K15894,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K15894  pseB, wbjB; UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]"
K15895,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K15895  pseC; UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase [EC:2.6.1.92]"
K15896,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K15896  pseH; UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase [EC:2.3.1.202]"
K15897,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K15897  pseG; UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [EC:3.6.1.57]"
K15898,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K15898  pseI, neuB3; pseudaminic acid synthase [EC:2.5.1.97]"
K15899,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K15899  pseF; pseudaminic acid cytidylyltransferase [EC:2.7.7.81]
K15912,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K15912  pglF; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]"
K15910,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K15910  pglE; UDP-N-acetylbacillosamine transaminase [EC:2.6.1.34]
K15913,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K15913  pglD; UDP-N-acetylbacillosamine N-acetyltransferase [EC:2.3.1.203]
K18429,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K18429  legG, neuC2; GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing) [EC:3.2.1.184]"
K18430,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K18430  legI, neuB2; N,N'-diacetyllegionaminate synthase [EC:2.5.1.101]"
K18431,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K18431  legF, ptmB; CMP-N,N'-diacetyllegionaminic acid synthase [EC:2.7.7.82]"
K02765,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K02765  gamP; D-glucosamine PTS system EIICBA component [EC:2.7.1.-]
K00844,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00844  HK; hexokinase [EC:2.7.1.1]
K18676,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K18676  gspK; glucosamine kinase [EC:2.7.1.8]
K03431,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K03431  glmM; phosphoglucosamine mutase [EC:5.4.2.10]
K01443,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K01443  nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"
K00621,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00621  GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]"
K00847,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00847  E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]"
K02564,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K02564  nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]"
K00820,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"
K12446,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K12446  E2.7.1.46; L-arabinokinase [EC:2.7.1.46]
K12447,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K12447  USP; UDP-sugar pyrophosphorylase [EC:2.7.7.64]
K13379,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K13379  RGP, UTM; reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2.4.1.- 5.4.99.30]"
K01209,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01209  abfA; alpha-L-arabinofuranosidase [EC:3.2.1.55]
K15921,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K15921  xynD; arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]
K20844,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K20844  abf1; non-reducing end alpha-L-arabinofuranosidase [EC:3.2.1.55]
K00770,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00770  E2.4.2.24; 1,4-beta-D-xylan synthase [EC:2.4.2.24]"
K15920,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K15920  XYL4; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
K01198,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K01198  xynB; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
K22268,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K22268  xylA; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
K12448,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K12448  UXE, uxe; UDP-arabinose 4-epimerase [EC:5.1.3.5]"
K16190,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K16190  GLCAK; glucuronokinase [EC:2.7.1.43]
K10011,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K10011  arnA, pmrI; UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]"
K07806,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K07806  arnB, pmrH; UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]"
K10012,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K10012  arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"
K13014,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K13014  arnD; undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]
K08678,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K08678  UXS1, uxs; UDP-glucuronate decarboxylase [EC:4.1.1.35]"
K12449,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K12449  AXS; UDP-apiose/xylose synthase
K02779,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K02779  ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]
K02791,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K02791  malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]
K20118,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K20118  ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]"
K00845,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00845  glk; glucokinase [EC:2.7.1.2]
K12407,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K12407  GCK; glucokinase [EC:2.7.1.2]
K00886,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00886  ppgK; polyphosphate glucokinase [EC:2.7.1.63]
K01810,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K01810  GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
K06859,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K06859  pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
K13810,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K13810  tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K15916,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K15916  pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
K01835,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
K15778,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K15778  pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
K15779,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K15779  PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]
K00963,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00963  UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
K12450,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K12450  RHM; UDP-glucose 4,6-dehydratase [EC:4.2.1.76]"
K12451,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K12451  UER1; 3,5-epimerase/4-reductase [EC:5.1.3.- 1.1.1.-]"
K00012,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00012  UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
K06118,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K06118  SQD1, sqdB; UDP-sulfoquinovose synthase [EC:3.13.1.1]"
K00849,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],D      K00849  galK; galactokinase [EC:2.7.1.6]
K00965,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K00965  galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
K01784,sugar,B  09101 Carbohydrate metabolism,C    00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],"D      K01784  galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"
