	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags
HP-T1-9_contig.fa_viral_328__full-cat_1_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_328__full-cat_1	2	325	555	1	E																								0	2	2	False	F
HP-T1-9_contig.fa_viral_328__full-cat_1_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_328__full-cat_1	3	646	1143	1	E																								0	1	2	False	F
HP-T1-9_contig.fa_viral_328__full-cat_1_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_328__full-cat_1	4	1345	1515	1	E																								0	2	2	False	F
HP-T1-9_contig.fa_viral_328__full-cat_1_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_328__full-cat_1	5	1482	2867	1	D			YP_009600147.1	YP_009600147.1 terminase large subunit [Dinoroseobacter phage vB_DshS-R5C]	False	0.346	245.0	1.2819999999999999e-68								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]; Phage terminase large subunit [PF04466.16]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	0	2	False	F
HP-T1-9_contig.fa_viral_328__full-cat_1_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_328__full-cat_1	6	2910	3143	1	E																								0	2	1	False	F
HP-T1-9_contig.fa_viral_328__full-cat_1_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_328__full-cat_1	7	3140	4651	1	E			YP_010754691.1	YP_010754691.1 portal protein [Streptomyces phage Ibantik]	False	0.249	121.0	3.197e-27													VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xs;Xr;Xp	0	0	1	False	VF
HP-T1-9_contig.fa_viral_328__full-cat_1_8	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_328__full-cat_1	8	4696	5796	1	D			YP_009884406.1	YP_009884406.1 minor head protein [Arthrobacter phage TripleJ]	False	0.259	123.0	9.097e-29								Phage Mu protein F like protein [PF04233.17]					VOG03910	sp|Q38442|GP7_BPSPP Minor head protein GP7; XhXs	Xs;Xh	0	0	5	False	VF
HP-T1-9_contig.fa_viral_329__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_329__full-cat_2	1	3	1682	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_329__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_329__full-cat_2	2	1682	2059	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_329__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_329__full-cat_2	3	2059	3960	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_329__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_329__full-cat_2	4	3962	4378	1	E			YP_009785543.1	YP_009785543.1 virion structural protein [Caulobacter phage Seuss]	False	0.539	135.0	5.5970000000000006e-36													VOG03176	REFSEQ virion structural protein; Xu	Xu	0	1	4	False	F
HP-T1-9_contig.fa_viral_329__full-cat_2_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_329__full-cat_2	5	4404	5822	1	E																								0	1	3	False	F
HP-T1-9_contig.fa_viral_329__full-cat_2_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_329__full-cat_2	6	5822	6130	1	D			YP_010082061.1	YP_010082061.1 HNH endonuclease [Ralstonia phage Dina]	False	0.43	63.0	1.133e-11								HNH endonuclease [PF01844.26]								1	1	5	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	1	2	232	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	2	229	567	1	E																								0	1	4	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	3	602	850	1	E																								0	2	3	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	4	850	1791	1	E			YP_010648515.1	YP_010648515.1 endolysin [Arthrobacter phage Wollypog]	False	0.407	131.0	5.91e-32																0	1	3	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	5	1888	2232	1	D			YP_010059026.1	YP_010059026.1 hypothetical protein KHQ84_gp004 [Rhodococcus phage Finch]	False	0.612	133.0	1.274e-35								RyR domain [PF02026.19]					VOG02087	REFSEQ hypothetical protein; Xu	Xu	0	1	3	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	6	2229	2960	1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	YP_009820590.1	YP_009820590.1 thymidylate synthase [Gordonia phage BrutonGaster]	False	0.506	210.0	4.7829999999999997e-60								Thymidylate synthase complementing protein [PF02511.18]								0	1	3	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	7	2957	3241	1	E			YP_010098799.1	YP_010098799.1 hypothetical protein KNU14_gp05 [Gordonia phage Buggaboo]	False	0.686	88.0	2.3820000000000003e-20													VOG01444	REFSEQ hypothetical protein; Xu	Xu	0	1	4	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_8	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	8	3231	3830	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_9	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	9	3827	4015	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_32__full-cat_2_10	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_32__full-cat_2	10	4012	4488	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_331__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_331__full-cat_2	1	1	678	-1	D																Phage integrase family [PF00589.25]								0	1	5	False	F
HP-T1-9_contig.fa_viral_331__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_331__full-cat_2	2	626	919	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_331__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_331__full-cat_2	3	1802	2194	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_331__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_331__full-cat_2	4	2267	2563	-1	D																Domain of unknown function (DUF3303) [PF11746.11]								0	2	5	False	F
HP-T1-9_contig.fa_viral_333__full-cat_1_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_333__full-cat_1	1	1	426	1	E			YP_010754736.1	YP_010754736.1 major capsid protein [Mycobacterium phage IdentityCrisis]	False	0.648	189.0	1.0549999999999999e-54																0	0	5	False	F
HP-T1-9_contig.fa_viral_333__full-cat_1_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_333__full-cat_1	2	439	579	1	E																								0	2	2	False	F
HP-T1-9_contig.fa_viral_333__full-cat_1_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_333__full-cat_1	3	599	1060	1	E																					VOG00419	sp|Q05225|VG19_BPML5 Gene 19 protein; Xu	Xu	0	1	2	False	F
HP-T1-9_contig.fa_viral_333__full-cat_1_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_333__full-cat_1	4	1057	1473	1	D			YP_009815560.1	YP_009815560.1 head-to-tail stopper [Arthrobacter phage Peas]	False	0.309	61.0	2.048e-10								Family of unknown function (DUF6093) [PF19586.2]					VOG22782	REFSEQ head-to-tail stopper; Xu	Xu	0	2	2	False	F
HP-T1-9_contig.fa_viral_333__full-cat_1_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_333__full-cat_1	5	1470	1841	1	E																								0	1	4	False	F
HP-T1-9_contig.fa_viral_333__full-cat_1_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_333__full-cat_1	6	1838	2143	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_333__full-cat_1_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_333__full-cat_1	7	2140	2535	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_334__full-cat_1_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_334__full-cat_1	1	2	2233	-1	D			YP_009831851.1	YP_009831851.1 hypothetical protein HWB05_gp126 [Streptomyces phage BRock]	False	0.268	114.0	2.7269999999999998e-24								Phage tail protein (Tail_P2_I) [PF09684.13]								0	2	5	False	F
HP-T1-9_contig.fa_viral_334__full-cat_1_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_334__full-cat_1	2	2237	2932	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_334__full-cat_1_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_334__full-cat_1	3	2942	4912	-1	D			YP_009831853.1	YP_009831853.1 baseplate protein [Streptomyces phage BRock]	False	0.308	249.0	7.268e-68								Baseplate J-like protein [PF04865.17]					VOG01398	sp|P19060|BP06_BPT4 Baseplate wedge protein gp6; Xs	Xs	0	0	4	False	VF
HP-T1-9_contig.fa_viral_334__full-cat_1_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_334__full-cat_1	4	4912	5298	-1	C	K06903	uncharacterized protein														Baseplate wedge protein gp25 [PF04965.17]					VOG00875	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xs;Xh	0	1	1	False	VF
HP-T1-9_contig.fa_viral_334__full-cat_1_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_334__full-cat_1	5	5298	5645	-1	D																Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]								0	0	4	False	F
HP-T1-9_contig.fa_viral_334__full-cat_1_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_334__full-cat_1	6	5642	6295	-1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_335__full-cat_1_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_335__full-cat_1	1	2	961	1	E																								0	0	5	False	F
HP-T1-9_contig.fa_viral_335__full-cat_1_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_335__full-cat_1	2	981	1280	1	E																								0	2	1	False	F
HP-T1-9_contig.fa_viral_335__full-cat_1_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_335__full-cat_1	3	1508	2023	1	E																								0	1	1	False	F
HP-T1-9_contig.fa_viral_335__full-cat_1_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_335__full-cat_1	4	2024	2596	1	E																								0	2	1	False	F
HP-T1-9_contig.fa_viral_335__full-cat_1_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_335__full-cat_1	5	2593	3105	1	E																								0	2	1	False	F
HP-T1-9_contig.fa_viral_335__full-cat_1_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_335__full-cat_1	6	3125	3346	1	E																								0	2	1	False	F
HP-T1-9_contig.fa_viral_335__full-cat_1_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_335__full-cat_1	7	3343	3732	1	C	K01174	micrococcal nuclease [EC:3.1.31.1]	YP_009598946.1	YP_009598946.1 endonuclease [Ralstonia phage RP12]	False	0.41	88.0	1.06e-19								Staphylococcal nuclease homologue [PF00565.20]					VOG08825	REFSEQ endonuclease; Xu	Xu	0	1	1	False	F
HP-T1-9_contig.fa_viral_335__full-cat_1_8	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_335__full-cat_1	8	3912	4544	1	D			YP_010731534.1	YP_010731534.1 major capsid protein [Mycobacterium phage Muddy]	False	0.499	194.0	4.896e-55								Phage capsid family [PF05065.16]								0	0	5	False	F
HP-T1-9_contig.fa_viral_337__full-cat_1_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_337__full-cat_1	1	36	302	-1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_337__full-cat_1_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_337__full-cat_1	2	359	868	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_337__full-cat_1_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_337__full-cat_1	3	1005	1622	-1	D																Domain of unknown function (DUF4352) [PF11611.11]								0	0	4	False	F
HP-T1-9_contig.fa_viral_337__full-cat_1_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_337__full-cat_1	4	1906	2292	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_337__full-cat_1_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_337__full-cat_1	5	2289	3677	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_337__full-cat_1_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_337__full-cat_1	6	3698	3796	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_338__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_338__full-cat_2	1	3	98	-1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_338__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_338__full-cat_2	2	423	785	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_338__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_338__full-cat_2	3	900	1289	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_338__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_338__full-cat_2	4	1510	1722	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_338__full-cat_2_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_338__full-cat_2	5	1865	2122	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_338__full-cat_2_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_338__full-cat_2	6	2425	2706	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_338__full-cat_2_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_338__full-cat_2	7	2937	3413	1	E																								0	1	4	False	F
HP-T1-9_contig.fa_viral_338__full-cat_2_8	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_338__full-cat_2	8	3414	3815	1	D																Lsr2 [PF11774.11]								0	2	5	False	F
HP-T1-9_contig.fa_viral_341__full-cat_1_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_341__full-cat_1	1	3	188	1	E			YP_006990136.1	YP_006990136.1 minor tail protein [Streptomyces phage R4]	False	0.519	61.0	1.67e-11																0	0	5	False	F
HP-T1-9_contig.fa_viral_341__full-cat_1_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_341__full-cat_1	2	204	1871	1	E																								0	1	2	False	F
HP-T1-9_contig.fa_viral_341__full-cat_1_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_341__full-cat_1	3	1902	2492	1	E																								0	1	4	False	F
HP-T1-9_contig.fa_viral_341__full-cat_1_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_341__full-cat_1	4	2489	2926	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_343__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_343__full-cat_2	1	154	1287	-1	C	K14059	integrase	YP_010062329.1	YP_010062329.1 tyrosine-type recombinase/integrase [Mycobacterium phage Kimona]	False	0.302	163.0	5.386e-42								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF14659.9]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	1	5	False	VF
HP-T1-9_contig.fa_viral_343__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_343__full-cat_2	2	1294	1872	-1	E																								0	2	3	False	F
HP-T1-9_contig.fa_viral_343__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_343__full-cat_2	3	1988	2179	1	C	K07733	prophage regulatory protein														Helix-turn-helix domain [PF12728.10]; Prophage CP4-57 regulatory protein (AlpA) [PF05930.15]								0	1	3	False	F
HP-T1-9_contig.fa_viral_343__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_343__full-cat_2	4	2214	2582	1	E																								0	2	3	False	F
HP-T1-9_contig.fa_viral_343__full-cat_2_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_343__full-cat_2	5	2575	3702	1	D			YP_009590996.1	YP_009590996.1 DNA helicase [Mycobacterium phage Optimus]	False	0.341	182.0	2.702e-48								AAA domain [PF13481.9]					VOG02164	REFSEQ DNA primase; Xu	Xu	0	1	5	False	F
HP-T1-9_contig.fa_viral_347__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_347__full-cat_2	1	2	847	1	C	K06919	putative DNA primase/helicase	YP_009907745.1	YP_009907745.1 DNA primase [Listeria phage LP-HM00113468]	False	0.493	192.0	2.7519999999999996e-53								Family of unknown function (DUF5906) [PF19263.2]; Poxvirus D5 protein-like [PF03288.19]								0	1	5	False	F
HP-T1-9_contig.fa_viral_347__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_347__full-cat_2	2	844	1422	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_347__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_347__full-cat_2	3	1595	2023	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_347__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_347__full-cat_2	4	2052	2351	1	D																Family of unknown function (DUF6112) [PF19607.2]								0	2	4	False	F
HP-T1-9_contig.fa_viral_347__full-cat_2_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_347__full-cat_2	5	2348	3187	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_347__full-cat_2_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_347__full-cat_2	6	3184	3999	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_349__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_349__full-cat_2	1	3	728	-1	E			YP_010654920.1	YP_010654920.1 hypothetical protein PP513_gp59 [Gordonia phage Howe]	False	0.351	100.0	3.934e-22																0	1	5	False	F
HP-T1-9_contig.fa_viral_349__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_349__full-cat_2	2	725	913	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_349__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_349__full-cat_2	3	913	1245	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_349__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_349__full-cat_2	4	1284	1526	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_349__full-cat_2_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_349__full-cat_2	5	1526	1714	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_349__full-cat_2_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_349__full-cat_2	6	1785	1997	-1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_349__full-cat_2_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_349__full-cat_2	7	2087	2386	1	D																BetR domain [PF08667.13]; Helix-turn-helix [PF01381.25]								0	2	5	False	F
HP-T1-9_contig.fa_viral_353__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_353__full-cat_2	1	112	321	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_353__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_353__full-cat_2	2	617	901	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_353__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_353__full-cat_2	3	898	1794	1	E			YP_005087081.1	YP_005087081.1 HTH DNA binding protein [Rhodococcus phage REQ2]	False	0.436	102.0	2.591e-22													VOG02248	REFSEQ HTH DNA binding protein; Xu	Xu	0	1	4	False	F
HP-T1-9_contig.fa_viral_353__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_353__full-cat_2	4	1796	2503	1	D																IstB-like ATP binding protein [PF01695.20]					VOG02675	sp|P0AEF0|DNAC_ECOLI DNA replication protein DnaC; XhXr	Xr;Xh	0	1	3	False	VF
HP-T1-9_contig.fa_viral_353__full-cat_2_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_353__full-cat_2	5	2517	2927	1	E			YP_009831829.1	YP_009831829.1 hypothetical protein HWB05_gp104 [Streptomyces phage BRock]	False	0.404	90.0	2.897e-20																0	2	3	False	F
HP-T1-9_contig.fa_viral_353__full-cat_2_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_353__full-cat_2	6	2924	3154	1	E																								0	2	3	False	F
HP-T1-9_contig.fa_viral_353__full-cat_2_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_353__full-cat_2	7	3147	3497	1	E																								0	1	5	False	F
HP-T1-9_contig.fa_viral_354__full-cat_1_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_354__full-cat_1	1	50	703	1	D			YP_009212747.1	YP_009212747.1 HNH endonuclease [Mycobacterium phage Dante]	False	0.282	74.0	9.553e-14								HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]; HNH endonuclease [PF13395.9]								0	1	5	False	F
HP-T1-9_contig.fa_viral_354__full-cat_1_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_354__full-cat_1	2	700	1131	1	D																Phage terminase, small subunit [PF05119.15]					VOG00738	REFSEQ terminase small subunit; Xu	Xu	0	1	2	False	F
HP-T1-9_contig.fa_viral_354__full-cat_1_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_354__full-cat_1	3	1128	2831	1	D			YP_010080223.1	YP_010080223.1 terminase large subunit [Paenibacillus phage Wanderer]	False	0.342	267.0	1.243e-74								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	0	2	False	F
HP-T1-9_contig.fa_viral_354__full-cat_1_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_354__full-cat_1	4	2815	4383	1	D			YP_010754216.1	YP_010754216.1 portal protein [Streptomyces phage Chymera]	False	0.356	217.0	1.499e-58								Phage portal protein [PF04860.15]					VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xs;Xr;Xh;Xp	0	0	1	False	VF
HP-T1-9_contig.fa_viral_354__full-cat_1_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_354__full-cat_1	5	4454	5455	1	C	K09968	uncharacterized protein	YP_009904097.1	YP_009904097.1 putative homing endonuclease [Burkholderia phage BcepSaruman]	False	0.276	71.0	5.061e-12													VOG01036	REFSEQ hypothetical protein; Xu	Xu	0	1	1	False	F
HP-T1-9_contig.fa_viral_354__full-cat_1_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_354__full-cat_1	6	5427	6107	1	C	K06904	uncharacterized protein	NP_612834.1	NP_612834.1 head maturation protease [Clostridium phage phi3626]	False	0.382	113.0	9.259e-27	MER1087617	S78	MER1087617 - family S78 unassigned peptidases (Bacillus cereus) [S78.UPW]#S78#{peptidase unit: 35-172}~source R8MQM8~	False	0.497	118.0	3.0070000000000003e-28	Caudovirus prohead serine protease [PF04586.20]								0	0	2	False	PF
HP-T1-9_contig.fa_viral_354__full-cat_1_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_354__full-cat_1	7	6251	6451	1	E																								0	1	5	False	F
HP-T1-9_contig.fa_viral_357__full-cat_1_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_357__full-cat_1	1	1	579	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_357__full-cat_1_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_357__full-cat_1	2	631	1281	1	D																Contractile injection system tube protein [PF19266.2]								0	2	4	False	F
HP-T1-9_contig.fa_viral_357__full-cat_1_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_357__full-cat_1	3	1290	1592	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_357__full-cat_1_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_357__full-cat_1	4	1589	2716	1	D																Phage tail baseplate hub (GPD) [PF05954.14]								0	2	4	False	F
HP-T1-9_contig.fa_viral_357__full-cat_1_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_357__full-cat_1	5	2713	2973	1	D			YP_009302439.1	YP_009302439.1 baseplate hub + tail lysozyme [Bacillus phage SP-15]	False	0.441	68.0	9.299e-14								Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]								0	0	5	False	F
HP-T1-9_contig.fa_viral_358__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_358__full-cat_2	1	1	300	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_358__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_358__full-cat_2	2	300	914	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_358__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_358__full-cat_2	3	1043	1441	-1	E																								0	1	4	False	F
HP-T1-9_contig.fa_viral_358__full-cat_2_4	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_358__full-cat_2	4	1593	1946	-1	E																								0	2	3	False	F
HP-T1-9_contig.fa_viral_358__full-cat_2_5	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_358__full-cat_2	5	1927	2397	-1	E																								0	2	3	False	F
HP-T1-9_contig.fa_viral_358__full-cat_2_6	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_358__full-cat_2	6	2394	2672	-1	E																								0	1	4	False	F
HP-T1-9_contig.fa_viral_358__full-cat_2_7	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_358__full-cat_2	7	2672	3109	-1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_35__full-cat_2_1	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_35__full-cat_2	1	1	366	1	E																								0	2	5	False	F
HP-T1-9_contig.fa_viral_35__full-cat_2_2	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_35__full-cat_2	2	594	689	1	E																								0	2	4	False	F
HP-T1-9_contig.fa_viral_35__full-cat_2_3	final-viral-combined-for-dramv	HP-T1-9_contig.fa_viral_35__full-cat_2	3	1205	3400	1	E																								0	1	5	False	F
